#,,b7,b6,b5,b4,b3,b2,b1,b0,Name,Arg0,Arg1,Note
58,,0,0,0,0,0,0,0,0,NOP,,,
15,,0,0,0,0,0,0,1,0,LD,(BC),A,
36,,0,0,0,0,0,1,1,1,RLCA,,,
24,,0,0,0,0,1,0,0,0,LD,(d16),SP,
5,,0,0,0,0,1,0,1,0,LD,A,(BC),
38,,0,0,0,0,1,1,1,1,RRCA,,,
60,,0,0,0,1,0,0,0,0,STOP,,,
16,,0,0,0,1,0,0,1,0,LD ,(DE),A,
37,,0,0,0,1,0,1,1,1,RLA,,,
42,,0,0,0,1,1,0,0,0,JR,r8,,
6,,0,0,0,1,1,0,1,0,LD,A,(DE),
39,,0,0,0,1,1,1,1,1,RRA,,,
17,,0,0,1,0,0,0,1,0,LD,(HL++),A,
51,,0,0,1,0,0,1,1,1,DDA,,,
13,,0,0,1,0,1,0,1,0,LD,A,(HL++),
54,,0,0,1,0,1,1,1,1,CPL,,,
18,,0,0,1,1,0,0,1,0,LD,(HL--) ,A,
29,,0,0,1,1,0,1,0,0,INC,(HL),,
31,,0,0,1,1,0,1,0,1,DEC,(HL),,
4,,0,0,1,1,0,1,1,0,LD,(HL),d8,
52,,0,0,1,1,0,1,1,1,SCF,,,
14,,0,0,1,1,1,0,1,0,LD,A,(HL--),
53,,0,0,1,1,1,1,1,1,CCF,,,
43,,0,0,1,c,c,0,0,0,JR,cc,r8,
19,,0,0,d,d,0,0,0,1,LD,dd,d16,
28,,0,0,r,r,r,1,0,0,INC,r,,
30,,0,0,r,r,r,1,0,1,DEC,r,,
1,,0,0,r,r,r,1,1,0,LD,r,n,
34,,0,0,s,s,0,0,1,1,INC,ss,,
32,,0,0,s,s,1,0,0,1,ADD,HL,ss,
35,,0,0,s,s,1,0,1,1,DEC,ss,,
59,,0,1,1,1,0,1,1,0,HALT,,,
3,,0,1,1,1,0,r',r',r',LD,(HL),r',
2,,0,1,r,r,r,1,1,0,LD,r,(HL),
0,,0,1,r,r,r,r',r',r',LD,r,r',
27,,1,0,f,f,f,1,1,0,f,A,(HL),
25,,1,0,f,f,f,r',r',r',f,A,r',
40,,1,1,0,0,0,0,1,1,JP,d16,,
47,,1,1,0,0,1,0,0,1,RET,,,
57,,1,1,0,0,1,0,1,1,CB,,,
45,,1,1,0,0,1,1,0,1,CALL,d16,,
61,,1,1,0,1,0,0,1,1,INVALID,,,
48,,1,1,0,1,1,0,0,1,RETI,,,
62,,1,1,0,1,1,0,1,1,INVALID,,,
63,,1,1,0,1,1,1,0,1,INVALID,,,
49,,1,1,0,c,c,0,0,0,RET,cc,,
41,,1,1,0,c,c,0,1,0,JP,cc,d16,
46,,1,1,0,c,c,1,0,0,CALL,cc,d16,
10,,1,1,1,0,0,0,0,0,LDH,(d8),A,
8,,1,1,1,0,0,0,1,0,LD,(C),A,FF00 + C
64,,1,1,1,0,0,0,1,1,INVALID,,,
65,,1,1,1,0,0,1,0,0,INVALID,,,
33,,1,1,1,0,1,0,0,0,ADD,SP,r8,
44,,1,1,1,0,1,0,0,1,JP,PC,(HL),
12,,1,1,1,0,1,0,1,0,LD,(d16),A,
66,,1,1,1,0,1,0,1,1,INVALID,,,
67,,1,1,1,0,1,1,0,0,INVALID,,,
68,,1,1,1,0,1,1,0,1,INVALID,,,
9,,1,1,1,1,0,0,0,0,LDH,A,(d8),
7,,1,1,1,1,0,0,1,0,LD,A,(C),FF00 + C
55,,1,1,1,1,0,0,1,1,DI,,,
69,,1,1,1,1,0,1,0,0,INVALID,,,
23,,1,1,1,1,1,0,0,0,LD,HL,SP + r8,
20,,1,1,1,1,1,0,0,1,LD,SP,HL,
11,,1,1,1,1,1,0,1,0,LD,A,(d16),
56,,1,1,1,1,1,0,1,1,EI,,,
70,,1,1,1,1,1,1,0,0,INVALID,,,
71,,1,1,1,1,1,1,0,1,INVALID,,,
26,,1,1,f,f,f,1,1,0,f,A,n,
22,,1,1,q,q,0,0,0,1,POP,qq,,
21,,1,1,q,q,0,1,0,1,PUSH,qq,,
50,,1,1,t,t,t,1,1,1,RST,t,,
,,,,,,,,,,,,,
60,,0,0,l,l,l,r,r,r,l,r,,PREFIX
61,,0,0,l,l,l,1,1,0,l,(HL),,PREFIX
76,,0,1,b,b,b,r',r',r',BIT,b,r,PREFIX
76,,0,1,b,b,b,1,1,0,BIT,b,(HL),PREFIX
77,,1,1,b,b,b,r',r',r',SET,b,r,PREFIX
78,,1,1,b,b,b,1,1,0,SET,b,(HL),PREFIX
79,,1,0,b,b,b,r',r',r',RES,b,r,PREFIX
80,,1,0,b,b,b,1,1,0,RES,b,(HL),PREFIX
