0,,0,1,r,r,r,r',r',r',load,r,r',
1,,0,0,r,r,r,1,1,0,load,r,n,
2,,0,1,r,r,r,1,1,0,load,r,(HL),
3,,0,1,1,1,0,r,r,r,load,(HL),r,
4,,0,0,1,1,0,1,1,0,load,(HL),n,
5,,0,0,0,0,1,0,1,0,load,A,(BC),
6,,0,0,0,1,1,0,1,0,load,A,(DE),
7,,1,1,1,1,0,0,1,0,load,A,(FF00 + C),
8,,1,1,1,0,0,0,1,0,load,(FF00 + C),A,
9,,1,1,1,1,0,0,0,0,load,A,(n),
10,,1,1,1,0,0,0,0,0,load,(n),A,
11,,1,1,1,1,1,0,1,0,load,A,(nn),
12,,1,1,1,0,1,0,1,0,load,(nn),A,
13,,0,0,1,0,1,0,1,0,load,A,(HL),HL++
14,,0,0,1,1,1,0,1,0,load,A,(HL),HL--
15,,0,0,0,0,0,0,1,0,load,(BC),A,
16,,0,0,0,1,0,0,1,0,load ,(DE),A,
17,,0,0,1,0,0,0,1,0,load,(HL),A,HL++
18,,0,0,1,1,0,0,1,0,load,(HL) ,A,HL--
19,,0,0,d,d,0,0,0,1,load,dd,nn,
20,,1,1,1,1,1,0,0,1,load,SP,HL,
21,,1,1,q,q,0,1,0,1,push,qq,,
22,,1,1,q,q,0,0,0,1,pop,qq,,
23,,1,1,1,1,1,0,0,0,load,HL,SP + e,
24,,0,0,0,0,1,0,0,0,load,(nn),SP,
25,,1,0,0,0,0,r,r,r,add,A,r,
26,,1,1,0,0,0,1,1,0,add,A,n,
27,,1,0,0,0,0,1,1,0,add,A,(HL),
28,,1,0,0,0,1,r,r,r,adc,A,r,
29,,1,1,0,0,1,1,1,0,adc,A,n,
30,,1,0,0,0,1,1,1,0,adc,A,(HL),
31,,1,0,0,1,0,r,r,r,sub,A,r,
32,,1,1,0,1,0,1,1,0,sub,A,n,
33,,1,0,0,1,0,1,1,0,sub,A,(HL),
34,,1,0,0,1,1,r,r,r,sbc,A,r,
35,,1,1,0,1,1,1,1,0,sbc,A,n,
36,,1,0,0,1,1,1,1,0,sbc,A,(HL),
37,,1,0,1,0,0,r,r,r,and,A,r,
38,,1,1,1,0,0,1,1,0,and,A,n,
39,,1,0,1,0,0,1,1,0,and,A,(HL),
40,,1,0,1,1,0,r,r,r,or,A,r,
41,,1,1,1,1,0,1,1,0,or,A,n,
42,,1,0,1,1,0,1,1,0,or,A,(HL),
43,,1,0,1,0,1,r,r,r,xor,A,r,
44,,1,1,1,0,1,1,1,0,xor,A,n,
45,,1,0,1,0,1,1,1,0,xor,A,(HL),
46,,1,0,1,1,1,r,r,r,cp,A,r,
47,,1,1,1,1,1,1,1,0,cp,A,n,
48,,1,0,1,1,1,1,1,0,cp,A,(HL),
49,,0,0,r,r,r,1,0,0,inc,r,,
50,,0,0,1,1,0,1,0,0,inc,(HL),,
51,,0,0,r,r,r,1,0,1,dec,r,,
52,,0,0,1,1,0,1,0,1,dec,(HL),,
53,,0,0,s,s,1,0,0,1,add,HL,ss,
54,,1,1,1,0,1,0,0,0,add,SP,SP + e,
55,,0,0,s,s,0,0,1,1,inc,ss,,
56,,0,0,s,s,1,0,1,1,dec,ss,,
57,,0,0,0,0,0,1,1,1,rlca,A,,
58,,0,0,0,1,0,1,1,1,rla,A,,
59,,0,0,0,0,1,1,1,1,rrca,A,,
60,,0,0,0,1,1,1,1,1,rra,A,,
61,,1,1,0,0,0,0,1,1,jp,nn,,
62,,1,1,0,c,c,0,1,0,jp ,cc,nn,
63,,0,0,0,1,1,0,0,0,jr,PC + e,,
